Nennungen der Features in J48:,,,,,
,,,,,
n,attr,ø values,normalized occurences,,
138.0,38.0,0.724638,2syl,models-numeric.txt,2syl/models-numeric.txt:(comp_len <= 0) and (nucleus_len1 >= 2) and (syl_len1 >= 3) => stress_class=ultima (138.0/38.0)
136.0,8.0,0.941176,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (sonority0 <= 10) and (syl_weight1 = light) and (prae_class = ø) and (sonority1 <= 10) and (syl_len1 <= 2) and (syl_weight3 = schwa) => stress_class=paenultima (136.0/8.0)
131.0,45.0,0.656489,2syl,models-meta.txt,2syl/models-meta.txt:(comp_struct = ø) and (pos = ADV) and (comp_len >= 2) => stress_class=ultima (131.0/45.0)
130.0,27.0,0.792308,2syl,models-sparse.txt,2syl/models-sparse.txt:(nucleus_len1 >= 2) and (syl_len0 <= 3) and (cv_ratio0 >= 2) and (syl_open1 = c) and (comp_len <= 1) => stress_class=ultima (130.0/27.0)
125.0,24.0,808,2syl,models-all.txt,2syl/models-all.txt:(suffix3 = ø) and (syl_len0 <= 3) and (nucleus_len1 >= 2) and (cv_ratio0 >= 2) and (syl_len1 >= 3) and (comp_len <= 1) => stress_class=ultima (125.0/24.0)
123.0,24.0,0.804878,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (syl_len0 <= 3) and (sonority_ratio0 <= 3) and (signi_suffix = ø) and (sonority2 >= 12) => stress_class=paenultima (123.0/24.0)
118.0,19.0,0.838983,5syl,models-numeric.txt,5syl/models-numeric.txt:(comp_len <= 1) and (cv_ratio4 >= 2) and (koda_len1 <= 0) and (sonority_ratio4 >= 4) => stress_class=paenultima (118.0/19.0)
115.0,7.0,0.93913,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 1) and (prae_class = ø) and (nucleus_phoncat1 = L) and (syl_cv0 = CVC) and (syl_weight2 = schwa) and (syl_len0 <= 3) => stress_class=paenultima (115.0/7.0)
114.0,6.0,0.947368,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 0) and (koda_len2 <= 0) and (cv_ratio2 >= 1) => stress_class=paenultima (114.0/6.0)
114.0,39.0,0.657895,3syl,models-sparse.txt,3syl/models-sparse.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (syl_len0 <= 3) and (sonority_ratio0 <= 3) and (sonority0 >= 9) => stress_class=paenultima (114.0/39.0)
113.0,3.0,0.973451,6syl,models-numeric.txt,6syl/models-numeric.txt:(cv_ratio5 <= 0) and (comp_len <= 1) => stress_class=ultima (113.0/3.0)
112.0,3.0,0.973214,4syl,models-sparse.txt,4syl/models-sparse.txt:(syl_weight1 = light) and (sonority1 >= 13) and (sonority0 <= 9) and (comp_len >= 2) and (pos = V) => stress_class=antepaenultima (112.0/3.0)
110.0,45.0,0.590909,2syl,models-meta.txt,2syl/models-meta.txt:(comp_len <= 0) and (pos = A) => stress_class=ultima (110.0/45.0)
108.0,18.0,0.833333,3syl,models-numeric.txt,3syl/models-numeric.txt:(nucleus_len2 >= 2) and (comp_len <= 1) and (koda_len1 <= 0) and (syl_len1 >= 3) and (syl_len2 >= 3) => stress_class=ultima (108.0/18.0)
103.0,19.0,0.815534,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (onset_len0 >= 1) and (cv_ratio1 <= 0) and (sonority2 >= 13) and (sonority2 <= 13) and (syl_len1 >= 3) => stress_class=paenultima (103.0/19.0)
